num	text	author
39	우리는 기회가 있을 때마다 사랑을 선택할 수 있다. 미소, 악수, 격려의 말, 친절한 인사, 도움의 손길. 이 모든 것이 사랑을 향해 내딛는 작은 발걸음이다.	헨리 나우웬
40	스트레스는 대부분 자기 문제를 과대평가하는 사람들에 의해 발생한다.	마이클 르뵈프
41	진정한 사랑은 모든 열정이 타고 없어졌을 때 그 때 남은 감정이다.	코렐리의 만돌린
42	행복이란 결심이요 결정이다.	앤드류 매튜스
43	누군가를 위해선 녹을 가치가 있어.	겨울왕국
44	나는 젊었을 때 10번 시도하면 9번 실패했다. 그래서 10번씩 시도했다.	조지 버나드 쇼
45	우리는 삶의 표면 가운데에 살고 있으며 삶의 진정한 기술은 그 위에서 스케이트를 잘 타는 것이다.	에머슨
46	여러분이 할 수 있는 가장 큰 모험은 바로 여러분이 꿈꿔오던 삶을 사는 것입니다.	오프라 윈프리
47	당신이 지금 있는 곳에서 행복할 수 없다면 당신이 있지 않은 곳에서도 행복할 수 없다.	찰리 존스
48	다른 누군가가 되어서 사랑받기보다는 있는 그대로의 나로서 미움받는 것이 낫다.	커트 코베인
49	삶이 이렇게 빠르게 달아나고 있는데, 정말 철저하게 살고 있지 않다는 생각을 하면 견딜 수가 없어.	태양은 다시 떠오른다. 헤밍웨이
50	우리는 오로지 사랑을 함으로써 사랑을 배울 수 있다.	아이리스 머독
51	하루하루가 작은 인생과 같다. 날마다 잠에서 꺠어나 하루가 탄생하고, 신선한 아침을 맞이하는 청춘에 이르러, 잠에 드는 매순간에 하루는 죽어버린다.	쇼팬하우어
52	모든 것은 운명이다, 운명은 절대 바꿀 수 없다.' 고 하는 사람들조차 길을 건너기 전에 좌우를 살피는 것을 나는 보았다.	스티븐 호킹
53	나는 내 인생에서 실패에 실패를 거듭했다. 그런데 그것이 바로 내가 성공한 이유이다.	마이클 조던
54	난 당신의 기대에 맞춰 살려고 존재하는 것이 아니며 당신도 내 기대에 맞춰 살려고 존재하지 않는다.	이소룡
55	자유, 책, 꽃 그리고 달과 함께라면 그 누가 행복해지지 않을 수 있을까.	오스카 와일드
56	친구에게서 결점을 발견하지 않기를 기대한다면 우리는 결코 친구를 가질 수 없다.	토마스 풀러
57	그대가 서 있는 곳에서 그대가 가진 것으로 그대가 할 수 있는 최선의 일을 하라.	루즈벨트
58	살면서 미쳤다는 말을 들어보지 못했다면 너는 단 한번도 목숨걸고 도전한 적이 없었던 것이다.	W. 볼튼
59	얼마나 깊이 괴로움을 겪는가에 따라 그 사람의 훌륭함이 결정된다.	니체
60	가장 중요한 때는 지금 현재. 가장 중요한 일은 지금 하는 일. 가장 중요한 사람은 지금 만나는 사람.	톨스토이
61	오랫동안 꿈을 그리는 사람은 마침내 그 꿈을 닮아간다.	앙드레말로
62	재능은 탁자 위의 소금보다 싸다. 재능있는 개개인을 성공으로 이끄는 것은 피나는 노력이다. 	스티븐 킹
63	행복의 한 쪽 문이 닫히면 다른쪽 문이 열린다. 그러나 흔히 우리는 닫혀진 문을 오랫동안 보기 때문에 우리를 위해 열려있는 문을 보지 못한다.	헬렌켈러
64	어른은 그저 견디고 있을 뿐이다. 어른으로서의 일들에 바빳을 뿐이고, 나이의 무게감을 강한 척으로 버텨냈을 뿐이다. 어른들도 아프다.	응답하라 1988
65	약자일수록 상대를 용서하지 못한다. 용서한다는 것은 강하다는 증거다.	짱구
66	상식이란, 18세까지 얻은 편견의 집합이다.	아인슈타인
67	인생을 가장 멋지게 사는 방법은 가능한 한 많은 것을 사랑하는 것이다.	빈센트 반고흐
68	사람들은 나의 옷 입은 모습을 보고 비웃었지만, 그것이 바로 나의 성공 비결이었다. 나는 그 누구와도 같지 않았다.	코코샤넬
69	모든 사람은 천재성을 갖고 태어나지만, 대부분의 사람은 그것을 단지 몇 분간만 유지한다.	에드가 바레즈
70	나의 마음은 항상 나의 다리와 함께 움직인다.	장자크 루소
71	어제를 놓아주는 법을 알게 되었을 때, 오늘의 아름다운 여정을 시작할 수 있다.	스티브 마라볼리
72	스무살의 얼굴은 자연의 선물이고, 쉰살의 얼굴은 당신의 공적이다.	코코 샤넬
73	내 기분은 내가 정해. 오늘 나는 행복으로 할래.	이상한 나라의 앨리스
74	인생은 모두가 함께하는 여행이다. 우리가 할 수 있는 건 최선을 다해 이 멋진 여행을 만끽하는 것이다.	어바웃 타임
75	사랑에 대한 백번의 연설도 단 한번의 사랑의 행동에 미치지 못하는 걸	어린왕자
76	스스로에게 동기부여를 할 수 없는 사람은 다른 재능이 아무리 뛰어나다 하더라도 평범한 삶이 만족할 수밖에 없다.	카네기
77	세상에서 이루고 싶은 변화의 주체는 바로 자신이어야 한다.	마하트마 간디
78	꿈을 품고 뭔가 할 수 있다면 그것을 시작하라. 새로운 일을 시작하는 용기 속에 당신의 천재성과 능력과 기적이 모두 숨어있다.	괴테
79	얼마나 많은 사람들이 책 한 권을 읽음으로써 인생에 새로운 전기를 맞이했던가.	헨리 데이빗 소로
80	나는 천천히 걷는 사람이다. 그러나 절대로 뒤로 걷지 않는다.	아브라함 링컨
81	넌 니가 믿는 것보다 더 용감하고, 보이는 것보다 더 세고, 생각하는 것보다 더 똑똑해	위니 더 푸
82	살아가야지. 내일도 또 태양이 떠오를거고 파도에 뭐가 쓸려올지 모르니까.	캐스트 어웨이
83	노력한다고 항상 성공할 순 없지만 성공한 사람은 모두 노력했다는 것을 알아둬.	위니 더 푸
84	사람은 오랫동안 해안을 볼 수 없다는 조건에 동의하지 않고는 새로운 땅을 발견할 수 없다.	앙드레 지드
85	실수를 두려워하지 마라. 거기에는 아무것도 없다.	마일즈 데이비스
86	호기심을 만족시킨다는 것은 행복한 삶을 이루는 가장 멋진 원천 중 하나이다.	리누스 폴링
87	우리는 두려움에서 벗어날 수 없다. 다만 멋진 모험에 함께 하는 동료로 생각할 뿐이다. 매일 모험을 하라. 작고 대담한 시도라도 그것을 해내기만 하면 엄청난 승리감을 느낄 수 있을 것이다.	수잔 제퍼스
88	우주는 당신이 자신을 위해 위험을 감수한 것에 대해 보답할 것이다.	삭티 거웨인
89	당신의 생활에 당신을 행복하게, 만족스럽게, 즐겁게 만들어주는 어떤 일을 할 시간을 충분히 남겨놓아라. 그것은 다른 어떤 것보다 경제적인 풍성함을 가져다준다.	폴 호켄
90	우리가 어떤 일을 감히 하지 못하는 것은 그 일이 너무 어렵기 때문이 아니라, 어렵다는 생각 때문에 그 일을 시도하지 않기 때문이다.	세네카
91	영혼을 일깨우는 한마디 말은 보석보다 더 소중하다.	하즈랏 이나야트 칸
92	외부에서 오는 기회에 시선이 끌리더라도 진정한 시작은 우리 내부에서 비롯된다.	윌리엄 브리지스
93	발견은 준비된 마음을 우연히 만나는 것이다.	앨버트 S. 조지
94	삶에서, 문학에서, 음악에서 보는 그대로의 삶에 흥미를 가져라. 세상은 소중한 보물과 아름다운 영혼, 재미있는 사람들로 살아숨쉰다. 너 자신을 잊어라.	헨리 밀러
95	인간에 대한 신의 꿈이 무엇이든, 인간이 협조하지 않으면 그 꿈은 실현될 수 없다.	스텔라 테릴 만
96	무엇을 좋아해야 할지 세상이 가르쳐주는 대로 경솔하게 따르지 않고 당신이 좋아하는 일이 무엇인지 알기 위해서는 당신의 영혼이 항상 깨어 있어야 한다.	로버트 L. 스티븐슨
97	긍정은 변화시키기를 원하는 당신 자신의 어떤 부분에 대한 처방약과 같다.	제리 프랑크하우저
98	만약 예술가들에게 자신의 라벨을 선택하라고 한다면, 그들은 아무것도 선택하지 않을 것이라고 나는 확신한다.	벤샨
99	능력이나 근육처럼, 내면의 지혜를 듣는 것도 자꾸 되풀이해야 강화된다.	로비 개스
100	당신을 자신의 것으로 만들기 위해서는 당신의 삶에 이벤트를 요구해야 한다.	앤 윌슨 셰프
